SA4 Code,Region,State,Working Age Population (15-64),Employment Rate (15-64),Unemployment Rate (15+)
102,Central Coast,NSW,225700,75.6,5.2
115,Sydney - Baulkham Hills and Hawkesbury,NSW,151400,76.5,4.7
116,Sydney - Blacktown,NSW,223600,70.9,6.2
117,Sydney - City and Inner South,NSW,242300,75.4,5.3
118,Sydney - Eastern Suburbs,NSW,194200,81.6,3.5
119,Sydney - Inner South West,NSW,398400,67.0,4.8
120,Sydney - Inner West,NSW,223700,79.7,4.0
121,Sydney - North Sydney and Hornsby,NSW,286800,78.1,4.2
122,Sydney - Northern Beaches,NSW,169700,80.7,3.5
123,Sydney - Outer South West,NSW,171600,73.1,4.4
124,Sydney - Outer West and Blue Mountains,NSW,201400,73.7,4.1
125,Sydney - Parramatta,NSW,314400,67.1,5.8
126,Sydney - Ryde,NSW,129800,71.2,7.2
127,Sydney - South West,NSW,273500,62.7,7.4
128,Sydney - Sutherland,NSW,148400,79.9,4.0
101,Capital Region,NSW,143400,73.0,4.1
103,Central West,NSW,131900,71.7,5.1
104,Coffs Harbour - Grafton,NSW,91500,70.5,2.8
105,Far West and Orana,NSW,67800,71.0,6.3
106,Hunter Valley exc Newcastle,NSW,168000,72.3,5.0
107,Illawarra,NSW,202800,70.1,7.4
108,Mid North Coast,NSW,126000,65.7,6.7
109,Murray,NSW,63300,64.8,7.1
110,New England and North West,NSW,112700,72.2,8.3
111,Newcastle and Lake Macquarie,NSW,239900,75.9,6.0
112,Richmond - Tweed,NSW,142900,72.4,4.9
113,Riverina,NSW,95600,76.5,4.2
114,Southern Highlands and Shoalhaven,NSW,89900,67.9,6.3
206,Melbourne - Inner,VIC,451900,74.4,5.1
207,Melbourne - Inner East,VIC,254800,73.5,6.3
208,Melbourne - Inner South,VIC,270400,77.8,3.7
209,Melbourne - North East,VIC,340900,73.3,3.5
210,Melbourne - North West,VIC,238600,66.2,7.0
211,Melbourne - Outer East,VIC,340500,74.4,5.0
212,Melbourne - South East,VIC,517200,69.5,7.6
213,Melbourne - West,VIC,522200,70.9,7.4
214,Mornington Peninsula,VIC,185400,75.3,4.9
201,Ballarat,VIC,95700,70.6,5.1
202,Bendigo,VIC,95500,72.7,5.8
203,Geelong,VIC,181100,73.7,5.0
204,Hume,VIC,106400,77.6,5.8
205,Latrobe - Gippsland,VIC,157100,68.9,7.7
215,North West,VIC,93600,65.6,5.3
216,Shepparton,VIC,81600,74.1,3.1
217,Warrnambool and South West,VIC,82300,70.6,6.5
301,Brisbane - East,QLD,157500,75.8,5.0
302,Brisbane - North,QLD,141800,77.1,3.6
303,Brisbane - South,QLD,260400,74.3,5.9
304,Brisbane - West,QLD,126300,72.9,5.0
305,Brisbane Inner City,QLD,191200,80.7,4.0
310,Ipswich,QLD,216200,64.8,10.3
311,Logan - Beaudesert,QLD,184400,69.0,6.5
313,Moreton Bay - North,QLD,158600,69.8,7.8
314,Moreton Bay - South,QLD,129800,78.9,4.1
306,Cairns,QLD,152000,67.5,10.1
307,Darling Downs - Maranoa,QLD,82600,79.1,3.8
308,Fitzroy,QLD,148600,76.5,4.8
309,Gold Coast,QLD,389800,75.4,5.6
312,Mackay,QLD,124000,74.9,6.6
315,Queensland - Outback,QLD,60000,57.9,13.0
316,Sunshine Coast,QLD,215600,74.4,4.6
317,Toowoomba,QLD,92700,68.9,5.5
318,Townsville,QLD,154400,57.4,13.2
319,Wide Bay,QLD,170500,62.2,9.5
401,Adelaide - Central and Hills,SA,193300,73.3,7.1
402,Adelaide - North,SA,286500,67.1,9.1
403,Adelaide - South,SA,240200,70.5,6.5
404,Adelaide - West,SA,150200,73.9,4.8
405,Barossa - Yorke - Mid North,SA,63000,72.0,6.4
406,South Australia - Outback,SA,52000,69.8,5.6
407,South Australia - South East,SA,117600,73.9,5.4
502,Mandurah,WA,62200,65.7,11.1
503,Perth - Inner,WA,128500,80.0,2.2
504,Perth - North East,WA,172800,71.9,5.6
505,Perth - North West,WA,388000,77.4,6.0
506,Perth - South East,WA,360600,72.4,6.6
507,Perth - South West,WA,275600,74.6,5.8
501,Bunbury,WA,111400,75.6,3.5
508,Western Australia - Outback,WA,179300,74.6,6.0
509,Western Australia - Wheat Belt,WA,81400,67.4,6.6
601,Hobart,TAS,142900,69.4,5.6
602,Launceston and North East,TAS,91300,68.7,8.4
603,South East,TAS,23000,67.2,7.3
604,West and North West,TAS,70300,71.3,4.9
701,Darwin,NT,99300,80.6,4.1
702,Northern Territory - Outback,NT,69200,70.1,4.4
